49,"1",9277
50,"2",8310
51,"3",7875
52,"4",2787
53,"5",2173
54,"6",1248
55,"7",3662
56,"8",4083
57,"9",4764
48,"0",7868
65,"A",229394
66,"B",9701
67,"C",17465
68,"D",193457
69,"E",84309
70,"F",28576
71,"G",16645
72,"H",15389
73,"I",31115
74,"J",9004
75,"K",12716
76,"L",27089
77,"M",19384
78,"N",31899
79,"O",33942
80,"P",14978
81,"Q",8248
82,"R",35521
83,"S",104362
84,"T",39354
85,"U",14877
86,"V",19660
87,"W",167539
88,"X",3962
89,"Y",9509
90,"Z",3124
16777217,"Tab",9290
16781922,"Left Shift",80770
16781921,"Right Shift",227
32,"Space",140637
16777471,".",86
202,"-",106
16777428,"+",226
16777474,"/",38
16777429,"*",48
195,"~",1748
45,"-",2386
61,"=",2922
91,"[",374
93,"]",3545
92,"\",383
59,";",493
39,"'",1500
44,",",4287
46,".",10736
47,"/",1035